Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
October 31 2019,Calvert,MD,Passenger,0,2,2,91,93,2.15
March 31 2021,Wichita,TX,Passenger,1,0,1,42,43,2.33
June 30 2022,Washington,MD,Passenger,2,0,2,13,15,13.33
November 30 2022,Richmond,NY,Passenger,1,0,1,2,3,33.33
May 31 2017,Dallas,TX,Passenger,0,1,1,191,192,0.52
July 31 2022,Walla Walla,WA,Passenger,175,98,273,35768,36041,0.76
June 30 2024,Snohomish,WA,Passenger,18854,4042,22896,524363,547259,4.18
June 30 2020,Jefferson,CO,Passenger,0,1,1,60,61,1.64
March 31 2021,Loudoun,VA,Passenger,1,0,1,74,75,1.33
March 31 2023,Boulder,CO,Passenger,2,0,2,41,43,4.65
August 31 2023,Jefferson,IL,Passenger,1,0,1,1,2,50.00
October 31 2017,Queens,NY,Passenger,1,0,1,63,64,1.56
April 30 2022,Rock Island,IL,Passenger,0,1,1,13,14,7.14
August 31 2021,Clark,WA,Passenger,3072,1469,4541,321756,326297,1.39
August 31 2017,Whitman,WA,Truck,0,0,0,8451,8451,0.00
April 30 2020,Mason,WA,Truck,0,0,0,20521,20521,0.00
February 28 2019,Skagit,WA,Truck,1,0,1,32279,32280,0.00
June 30 2021,Thurston,WA,Passenger,1580,869,2449,197677,200126,1.22
October 31 2019,Stafford,VA,Passenger,1,1,2,103,105,1.90
April 30 2020,RÃ­o Grande,PR,Passenger,1,0,1,1,2,50.00
December 31 2019,Oldham,KY,Passenger,0,1,1,4,5,20.00
September 30 2019,Monroe,IL,Passenger,1,0,1,4,5,20.00
November 30 2022,Whitman,WA,Truck,3,0,3,8606,8609,0.03
January 31 2018,Santa Clara,CA,Passenger,7,1,8,404,412,1.94
March 31 2020,Grant,WA,Truck,0,0,0,27046,27046,0.00
July 31 2021,Chelan,WA,Truck,0,0,0,23080,23080,0.00
August 31 2017,Asotin,WA,Passenger,8,5,13,12436,12449,0.10
March 31 2017,Cowlitz,WA,Truck,0,0,0,27902,27902,0.00
February 28 2022,Thurston,WA,Truck,3,0,3,55708,55711,0.01
April 30 2019,Pima,AZ,Passenger,1,1,2,432,434,0.46
January 31 2020,Muskogee,OK,Passenger,0,1,1,1,2,50.00
July 31 2018,Allegheny,PA,Passenger,1,0,1,84,85,1.18
May 31 2022,Allen,IN,Passenger,1,0,1,18,19,5.26
April 30 2023,Hamilton,OH,Truck,1,0,1,3,4,25.00
March 31 2020,Franklin,WA,Truck,0,0,0,19893,19893,0.00
April 30 2024,Santa Cruz,CA,Passenger,1,0,1,21,22,4.55
July 31 2023,San Juan,WA,Truck,15,0,15,5936,5951,0.25
July 31 2023,Ferry,WA,Truck,0,0,0,3582,3582,0.00
July 31 2019,Skamania,WA,Passenger,25,18,43,8730,8773,0.49
June 30 2022,Orange,FL,Passenger,3,0,3,97,100,3.00
October 31 2021,Williamson,TX,Passenger,1,2,3,122,125,2.40
January 31 2024,San Francisco,CA,Passenger,3,0,3,61,64,4.69
November 30 2023,Isle of Wight,VA,Passenger,0,1,1,17,18,5.56
December 31 2024,Wasco,OR,Passenger,0,1,1,14,15,6.67
August 31 2018,Lumpkin,GA,Passenger,1,0,1,7,8,12.50
March 31 2017,Orange,FL,Passenger,1,1,2,152,154,1.30
February 29 2020,DuPage,IL,Passenger,4,0,4,66,70,5.71
April 30 2022,San Francisco,CA,Passenger,2,0,2,100,102,1.96
June 30 2023,San Joaquin,CA,Passenger,0,1,1,88,89,1.12
November 30 2019,Norfolk,MA,Passenger,1,0,1,41,42,2.38
June 30 2018,Muskogee,OK,Passenger,0,1,1,2,3,33.33
July 31 2023,Bexar,TX,Passenger,2,3,5,413,418,1.20
November 30 2017,Dale,AL,Passenger,0,1,1,61,62,1.61
October 31 2022,Lincoln,OR,Passenger,0,1,1,26,27,3.70
August 31 2021,Providence,RI,Passenger,1,0,1,26,27,3.70
December 31 2022,Boulder,CO,Passenger,2,0,2,43,45,4.44
June 30 2024,Mercer,NJ,Passenger,0,1,1,5,6,16.67
November 30 2021,Penobscot,ME,Passenger,0,2,2,9,11,18.18
March 31 2017,El Paso,CO,Passenger,1,1,2,831,833,0.24
November 30 2020,Thurston,WA,Truck,0,0,0,56218,56218,0.00
May 31 2021,Denver,CO,Passenger,1,0,1,117,118,0.85
January 31 2022,Ventura,CA,Passenger,2,3,5,270,275,1.82
January 31 2024,Cowlitz,WA,Passenger,615,255,870,69512,70382,1.24
January 31 2021,Yakima,WA,Passenger,180,129,309,167473,167782,0.18
December 31 2022,Harris,TX,Passenger,1,1,2,187,189,1.06
November 30 2017,Thurston,WA,Passenger,456,379,835,189406,190241,0.44
June 30 2022,Onslow,NC,Passenger,0,1,1,157,158,0.63
September 30 2017,Hawaii,HI,Passenger,1,0,1,81,82,1.22
March 31 2024,Camden,GA,Passenger,1,0,1,94,95,1.05
February 29 2020,Sedgwick,KS,Passenger,1,1,2,101,103,1.94
July 31 2017,Lee,AL,Passenger,1,0,1,36,37,2.70
October 31 2019,Walla Walla,WA,Truck,0,0,0,13667,13667,0.00
March 31 2020,Brevard,FL,Passenger,0,1,1,90,91,1.10
April 30 2024,Travis,TX,Passenger,1,1,2,76,78,2.56
July 31 2021,Stevens,WA,Truck,0,0,0,18905,18905,0.00
April 30 2023,Yolo,CA,Passenger,2,0,2,27,29,6.90
February 29 2024,Chelan,WA,Passenger,792,223,1015,54209,55224,1.84
March 31 2023,Collier,FL,Passenger,1,0,1,15,16,6.25
July 31 2019,Washtenaw,MI,Passenger,1,0,1,41,42,2.38
October 31 2020,Thurston,WA,Truck,0,0,0,56241,56241,0.00
December 31 2024,Kittitas,WA,Truck,45,0,45,14069,14114,0.32
December 31 2023,San Juan,WA,Truck,24,0,24,5906,5930,0.40
December 31 2019,Fairfax,VA,Passenger,5,1,6,767,773,0.78
November 30 2023,Whatcom,WA,Truck,83,0,83,42483,42566,0.19
March 31 2019,Deschutes,OR,Passenger,3,0,3,172,175,1.71
January 31 2023,Prince George's,MD,Passenger,3,1,4,141,145,2.76
August 31 2023,Kootenai,ID,Passenger,0,2,2,135,137,1.46
February 28 2023,Broward,FL,Passenger,1,0,1,75,76,1.32
September 30 2019,Volusia,FL,Passenger,0,1,1,41,42,2.38
February 28 2018,Arlington,VA,Passenger,1,2,3,182,185,1.62
October 31 2020,Middlesex,MA,Passenger,1,0,1,100,101,0.99
December 31 2019,Owyhee,ID,Passenger,1,0,1,3,4,25.00
February 28 2023,Thurston,WA,Truck,49,0,49,54381,54430,0.09
November 30 2017,Snohomish,WA,Truck,1,0,1,121373,121374,0.00
July 31 2019,Mason,WA,Passenger,127,123,250,47294,47544,0.53
August 31 2019,Ventura,CA,Passenger,0,2,2,324,326,0.61
July 31 2020,Pacific,WA,Truck,0,0,0,7707,7707,0.00
May 31 2024,Clark,WA,Passenger,8227,2968,11195,314276,325471,3.44
October 31 2021,Multnomah,OR,Passenger,3,6,9,688,697,1.29
January 31 2023,St. Mary's,MD,Passenger,2,0,2,194,196,1.02
April 30 2024,Providence,RI,Passenger,1,0,1,19,20,5.00
March 31 2019,Travis,TX,Passenger,4,1,5,217,222,2.25
March 31 2018,Frederick,MD,Passenger,0,1,1,86,87,1.15
August 31 2021,Suffolk,MA,Passenger,0,2,2,33,35,5.71
February 28 2023,Hardin,KY,Passenger,1,0,1,64,65,1.54
November 30 2024,Brown,WI,Passenger,1,0,1,2,3,33.33
November 30 2020,Sussex,NJ,Passenger,1,0,1,2,3,33.33
July 31 2021,Sussex,NJ,Passenger,1,0,1,2,3,33.33
November 30 2019,Pinal,AZ,Passenger,1,0,1,213,214,0.47
July 31 2019,Skamania,WA,Truck,0,0,0,4064,4064,0.00
July 31 2019,Snohomish,WA,Truck,0,0,0,122593,122593,0.00
April 30 2024,Alameda,CA,Passenger,4,1,5,150,155,3.23
September 30 2024,Allegheny,PA,Passenger,2,0,2,42,44,4.55
September 30 2024,Pulaski,AR,Truck,1,0,1,4,5,20.00
October 31 2018,Travis,TX,Passenger,1,0,1,209,210,0.48
October 31 2024,Montgomery,PA,Passenger,1,0,1,15,16,6.25
September 30 2018,Suffolk,MA,Passenger,0,1,1,44,45,2.22
August 31 2024,Kings,NY,Passenger,1,0,1,31,32,3.12
January 31 2021,Juneau,AK,Passenger,0,1,1,30,31,3.23
October 31 2018,Shasta,CA,Passenger,1,0,1,43,44,2.27
March 31 2022,Rock Island,IL,Passenger,0,1,1,13,14,7.14
July 31 2022,Botetourt,VA,Passenger,1,0,1,0,1,100.00
June 30 2019,Adams,WA,Truck,0,0,0,5124,5124,0.00
August 31 2023,Lane,OR,Passenger,0,2,2,79,81,2.47
April 30 2017,Lane,OR,Passenger,0,1,1,252,253,0.40
September 30 2023,Coryell,TX,Passenger,1,0,1,63,64,1.56
April 30 2018,Frederick,MD,Passenger,0,1,1,85,86,1.16
November 30 2020,Montgomery,PA,Passenger,1,0,1,25,26,3.85
June 30 2018,Orleans,LA,Passenger,0,1,1,46,47,2.13
April 30 2022,Hudson,NJ,Passenger,2,0,2,42,44,4.55
July 31 2018,Essex,MA,Passenger,1,0,1,28,29,3.45
May 31 2024,Walla Walla,WA,Truck,12,0,12,13646,13658,0.09
July 31 2020,King,WA,Truck,7,1,8,182870,182878,0.00
May 31 2019,St. Mary's,MD,Passenger,1,0,1,212,213,0.47
January 31 2020,Osceola,FL,Passenger,1,0,1,43,44,2.27
September 30 2018,Lake,CA,Passenger,0,1,1,11,12,8.33
January 31 2021,Garfield,WA,Truck,0,0,0,1000,1000,0.00
November 30 2017,Clark,WA,Passenger,840,557,1397,303104,304501,0.46
June 30 2021,Duval,FL,Passenger,0,2,2,356,358,0.56
June 30 2018,Pierce,WA,Truck,0,0,0,137772,137772,0.00
October 31 2020,Benton,WA,Passenger,402,339,741,134596,135337,0.55
August 31 2019,Grays Harbor,WA,Truck,0,0,0,20563,20563,0.00
July 31 2023,Whitman,WA,Truck,5,0,5,8613,8618,0.06
February 28 2019,Skamania,WA,Truck,0,0,0,3991,3991,0.00
April 30 2019,St. Clair,IL,Passenger,0,1,1,165,166,0.60
August 31 2022,Sonoma,CA,Passenger,1,1,2,89,91,2.20
October 31 2022,Rockingham,NH,Passenger,1,0,1,18,19,5.26
April 30 2020,Williams,ND,Passenger,0,1,1,12,13,7.69
November 30 2021,Larimer,CO,Passenger,1,0,1,51,52,1.92
November 30 2023,Maui,HI,Passenger,1,0,1,18,19,5.26
May 31 2018,New Haven,CT,Passenger,0,1,1,50,51,1.96
January 31 2022,Gwinnett,GA,Passenger,1,0,1,67,68,1.47
April 30 2022,Okaloosa,FL,Passenger,0,2,2,111,113,1.77
May 31 2024,Columbia,GA,Passenger,1,0,1,74,75,1.33
January 31 2022,Tom Green,TX,Passenger,0,1,1,23,24,4.17
April 30 2022,Camden,NJ,Passenger,0,1,1,12,13,7.69
July 31 2020,Asotin,WA,Truck,0,0,0,6651,6651,0.00
September 30 2021,Wahkiakum,WA,Passenger,16,8,24,3067,3091,0.78
April 30 2018,Cowlitz,WA,Passenger,55,73,128,71348,71476,0.18
March 31 2023,Skagit,WA,Truck,17,0,17,31983,32000,0.05
August 31 2023,New York,NY,Passenger,2,0,2,33,35,5.71
February 29 2020,Denton,TX,Passenger,1,0,1,103,104,0.96
February 28 2021,Hudson,NJ,Passenger,1,0,1,42,43,2.33
October 31 2024,Polk,OR,Passenger,1,1,2,11,13,15.38
December 31 2020,Grant,WA,Passenger,80,80,160,65888,66048,0.24
November 30 2021,Skagit,WA,Truck,1,0,1,32770,32771,0.00
May 31 2022,Jefferson,WA,Passenger,425,217,642,24569,25211,2.55
February 28 2018,Walla Walla,WA,Truck,0,0,0,13320,13320,0.00
October 31 2022,Kittitas,WA,Passenger,290,95,385,29533,29918,1.29
July 31 2017,Grant,WA,Truck,0,0,0,25267,25267,0.00
January 31 2020,Anne Arundel,MD,Passenger,1,1,2,425,427,0.47
February 28 2019,St. Mary's,MD,Passenger,1,0,1,207,208,0.48
July 31 2024,San Diego,CA,Truck,1,0,1,389,390,0.26
January 31 2020,Maui,HI,Passenger,2,0,2,39,41,4.88
April 30 2024,Prince George's,MD,Passenger,3,1,4,115,119,3.36
March 31 2019,San Mateo,CA,Passenger,2,1,3,135,138,2.17
August 31 2022,Charles,MD,Passenger,1,1,2,57,59,3.39
February 29 2020,Fulton,GA,Passenger,1,3,4,106,110,3.64
January 31 2021,Washtenaw,MI,Passenger,1,1,2,35,37,5.41
March 31 2024,Loudoun,VA,Passenger,2,1,3,55,58,5.17
November 30 2020,Skagit,WA,Truck,1,0,1,32692,32693,0.00
April 30 2017,Klickitat,WA,Passenger,22,23,45,14771,14816,0.30
February 28 2021,Douglas,WA,Truck,0,0,0,12508,12508,0.00
February 29 2024,Thurston,WA,Passenger,4024,1450,5474,189187,194661,2.81
May 31 2021,Douglas,WA,Passenger,93,47,140,28508,28648,0.49
September 30 2017,Cumberland,NC,Passenger,1,0,1,578,579,0.17
November 30 2020,Palm Beach,FL,Passenger,1,2,3,83,86,3.49
June 30 2024,Calvert,MD,Passenger,1,1,2,68,70,2.86
June 30 2024,Essex,MA,Passenger,1,0,1,12,13,7.69
April 30 2022,Rockdale,GA,Passenger,1,0,1,8,9,11.11
May 31 2023,Montgomery,PA,Passenger,1,0,1,22,23,4.35
September 30 2021,Hanover,VA,Passenger,1,0,1,3,4,25.00
April 30 2017,Island,WA,Passenger,108,129,237,59729,59966,0.40
July 31 2020,Fairfax,VA,Passenger,5,2,7,743,750,0.93
June 30 2018,Santa Rosa,FL,Passenger,1,0,1,98,99,1.01
April 30 2023,Deschutes,OR,Passenger,2,0,2,90,92,2.17
March 31 2018,San Mateo,CA,Passenger,1,1,2,136,138,1.45
April 30 2020,Sedgwick,KS,Passenger,1,1,2,99,101,1.98
July 31 2023,Forsyth,GA,Passenger,1,0,1,11,12,8.33
May 31 2017,Saratoga,NY,Passenger,1,1,2,72,74,2.70
February 28 2018,Grays Harbor,WA,Passenger,42,43,85,45880,45965,0.18
June 30 2019,Kittitas,WA,Passenger,81,38,119,29598,29717,0.40
March 31 2022,Pacific,WA,Truck,0,0,0,7999,7999,0.00
March 31 2020,Spokane,WA,Truck,1,0,1,97408,97409,0.00
December 31 2022,Cowlitz,WA,Truck,4,0,4,28321,28325,0.01
December 31 2018,Walla Walla,WA,Passenger,41,52,93,36081,36174,0.26
May 31 2019,Harris,TX,Passenger,0,1,1,292,293,0.34
March 31 2019,Middlesex,MA,Passenger,1,0,1,118,119,0.84
February 29 2024,Albemarle,VA,Passenger,3,0,3,18,21,14.29
May 31 2019,Wilson,TX,Passenger,0,1,1,7,8,12.50
April 30 2024,Richmond,VA,Passenger,1,0,1,8,9,11.11
January 31 2023,Adams,WA,Truck,1,0,1,5384,5385,0.02
April 30 2024,Okanogan,WA,Truck,13,0,13,16354,16367,0.08
October 31 2017,Whitman,WA,Passenger,12,20,32,22295,22327,0.14
November 30 2021,Mason,WA,Truck,0,0,0,21222,21222,0.00
June 30 2018,Maui,HI,Passenger,1,0,1,56,57,1.75
October 31 2024,Currituck,NC,Passenger,1,0,1,16,17,5.88
August 31 2024,Clackamas,OR,Passenger,0,1,1,82,83,1.20
April 30 2022,Newport,RI,Passenger,0,1,1,76,77,1.30
August 31 2024,Utah,UT,Passenger,1,0,1,66,67,1.49
September 30 2024,Galveston,TX,Passenger,1,1,2,19,21,9.52
April 30 2022,Allen,IN,Passenger,1,0,1,18,19,5.26
November 30 2023,Orange,NC,Passenger,1,0,1,5,6,16.67
June 30 2024,Lee,AL,Passenger,1,0,1,13,14,7.14
September 30 2022,Columbia,WA,Truck,0,0,0,1571,1571,0.00
October 31 2024,Harnett,NC,Passenger,4,1,5,117,122,4.10
March 31 2020,Garfield,WA,Passenger,0,1,1,1349,1350,0.07
February 28 2018,Columbia,WA,Passenger,2,1,3,2407,2410,0.12
July 31 2020,Cowlitz,WA,Truck,0,0,0,28864,28864,0.00
September 30 2023,Mason,WA,Passenger,497,210,707,46100,46807,1.51
June 30 2023,Yakima,WA,Truck,13,0,13,61055,61068,0.02
March 31 2022,Kootenai,ID,Passenger,0,1,1,191,192,0.52
May 31 2021,Montgomery,MD,Passenger,2,1,3,240,243,1.23
October 31 2017,Ramsey,MN,Passenger,1,0,1,42,43,2.33
July 31 2023,Middlesex,MA,Passenger,3,0,3,94,97,3.09
April 30 2023,Howard,MD,Passenger,0,2,2,63,65,3.08
July 31 2021,Carson City,NV,Passenger,1,0,1,11,12,8.33
June 30 2021,Tom Green,TX,Passenger,0,1,1,21,22,4.55
March 31 2021,Washtenaw,MI,Passenger,0,1,1,34,35,2.86
April 30 2022,Lexington,SC,Passenger,1,0,1,24,25,4.00
January 31 2024,Williamson,TN,Passenger,0,1,1,13,14,7.14
January 31 2024,Hudson,NJ,Passenger,2,0,2,23,25,8.00
July 31 2023,Botetourt,VA,Passenger,1,0,1,0,1,100.00
May 31 2020,Manassas,VA,Passenger,0,1,1,6,7,14.29
February 29 2020,Pinal,AZ,Passenger,1,0,1,215,216,0.46
April 30 2017,Ferry,WA,Passenger,2,1,3,4399,4402,0.07
January 31 2017,Columbia,WA,Passenger,0,1,1,2332,2333,0.04
October 31 2021,Grays Harbor,WA,Truck,0,0,0,21382,21382,0.00
November 30 2018,Grant,WA,Truck,0,0,0,26151,26151,0.00
June 30 2024,King,WA,Truck,1401,2,1403,170253,171656,0.82
November 30 2021,Pacific,WA,Passenger,51,64,115,16045,16160,0.71
August 31 2018,Carson City,NV,Passenger,1,0,1,14,15,6.67
June 30 2020,Fulton,GA,Passenger,1,3,4,104,108,3.70
February 28 2023,Eagle,CO,Passenger,1,0,1,7,8,12.50
December 31 2023,Spokane,WA,Truck,62,0,62,101496,101558,0.06
January 31 2023,Allegheny,PA,Passenger,2,0,2,69,71,2.82
December 31 2020,Nassau,NY,Passenger,5,0,5,33,38,13.16
December 31 2021,Deschutes,OR,Passenger,2,0,2,127,129,1.55
April 30 2019,Middlesex,MA,Passenger,1,0,1,117,118,0.85
July 31 2022,Okaloosa,FL,Passenger,0,2,2,108,110,1.82
August 31 2022,Owyhee,ID,Passenger,1,0,1,2,3,33.33
January 31 2023,Franklin,OH,Passenger,1,0,1,64,65,1.54
April 30 2018,Spokane,WA,Passenger,318,284,602,301809,302411,0.20
February 29 2024,Whitman,WA,Truck,10,0,10,8641,8651,0.12
December 31 2024,,,Passenger,2,1,3,205,208,1.44
September 30 2018,Williamson,TX,Passenger,0,1,1,176,177,0.56
August 31 2017,Chelan,WA,Passenger,72,36,108,52304,52412,0.21
September 30 2019,Duval,FL,Passenger,1,2,3,374,377,0.80
October 31 2019,Clackamas,OR,Passenger,2,1,3,229,232,1.29
May 31 2019,Kent,MI,Passenger,0,1,1,25,26,3.85
September 30 2022,Nassau,NY,Passenger,3,0,3,28,31,9.68
January 31 2019,Mecklenburg,NC,Passenger,1,0,1,85,86,1.16
June 30 2020,Okaloosa,FL,Passenger,0,1,1,145,146,0.68
November 30 2021,Polk,FL,Passenger,1,0,1,73,74,1.35
October 31 2020,Arlington,VA,Passenger,0,2,2,153,155,1.29
October 31 2023,Caddo,LA,Passenger,2,0,2,14,16,12.50
December 31 2021,Shelby,OH,Passenger,0,1,1,4,5,20.00
April 30 2024,King,WA,Passenger,76462,18693,95155,1311849,1407004,6.76
June 30 2020,King,WA,Passenger,24094,7675,31769,1369919,1401688,2.27
May 31 2024,Garfield,WA,Truck,0,0,0,996,996,0.00
October 31 2017,Richland,SC,Passenger,0,1,1,183,184,0.54
April 30 2020,Goochland,VA,Passenger,2,1,3,279,282,1.06
May 31 2017,Northampton,PA,Passenger,1,0,1,165,166,0.60
February 28 2022,DeKalb,GA,Passenger,1,0,1,61,62,1.61
October 31 2020,St. Louis,MO,Passenger,1,0,1,101,102,0.98
September 30 2021,Sacramento,CA,Passenger,2,1,3,261,264,1.14
April 30 2024,El Paso,CO,Truck,1,0,1,130,131,0.76
October 31 2019,Shasta,CA,Passenger,1,0,1,41,42,2.38
February 28 2021,Riverside,CA,Passenger,5,0,5,622,627,0.80
April 30 2023,Orange,CA,Passenger,11,3,14,384,398,3.52
March 31 2019,Snohomish,WA,Passenger,3194,1510,4704,527775,532479,0.88
April 30 2024,Franklin,WA,Passenger,429,178,607,62433,63040,0.96
October 31 2021,Alameda,CA,Passenger,6,0,6,234,240,2.50
April 30 2023,Geary,KS,Passenger,1,0,1,80,81,1.23
March 31 2024,Meade,KY,Passenger,1,0,1,18,19,5.26
April 30 2018,Lee,FL,Passenger,1,0,1,58,59,1.69
January 31 2021,Lee,FL,Passenger,1,0,1,46,47,2.13
November 30 2021,Columbia,WA,Passenger,6,2,8,2455,2463,0.32
July 31 2021,Duval,FL,Passenger,0,2,2,351,353,0.57
September 30 2022,Pacific,WA,Truck,0,0,0,7851,7851,0.00
August 31 2021,Douglas,WA,Passenger,103,51,154,28564,28718,0.54
October 31 2024,Los Angeles,CA,Passenger,9,2,11,466,477,2.31
May 31 2017,Jefferson,WA,Truck,0,0,0,9438,9438,0.00
February 28 2019,Skamania,WA,Passenger,20,15,35,8707,8742,0.40
January 31 2018,Cumberland,NC,Passenger,1,0,1,566,567,0.18
November 30 2022,Hamilton,OH,Passenger,1,0,1,39,40,2.50
September 30 2019,Washtenaw,MI,Passenger,1,0,1,43,44,2.27
June 30 2021,Albemarle,VA,Passenger,2,0,2,25,27,7.41
July 31 2022,Franklin,OH,Passenger,1,0,1,68,69,1.45
July 31 2024,DeKalb,GA,Truck,1,0,1,0,1,100.00
September 30 2022,Clark,WA,Truck,19,0,19,82184,82203,0.02
January 31 2021,San Diego,CA,Passenger,14,3,17,2713,2730,0.62
May 31 2017,Jefferson,NY,Passenger,1,1,2,251,253,0.79
October 31 2024,Pend Oreille,WA,Passenger,52,21,73,8533,8606,0.85
June 30 2017,District of Columbia,DC,Passenger,0,3,3,214,217,1.38
October 31 2020,Alameda,CA,Passenger,2,0,2,274,276,0.72
December 31 2020,Hennepin,MN,Passenger,2,0,2,93,95,2.11
April 30 2023,Rockingham,NH,Passenger,1,0,1,18,19,5.26
March 31 2022,St. Clair,IL,Passenger,1,0,1,136,137,0.73
November 30 2017,Nassau,NY,Passenger,1,1,2,40,42,4.76
December 31 2023,DeKalb,GA,Passenger,2,0,2,36,38,5.26
December 31 2018,Williamson,TX,Passenger,0,1,1,164,165,0.61
July 31 2022,Asotin,WA,Truck,0,0,0,6672,6672,0.00
December 31 2017,Sacramento,CA,Passenger,1,1,2,324,326,0.61
April 30 2023,King,WA,Truck,635,2,637,175946,176583,0.36
February 28 2017,Utah,UT,Passenger,0,1,1,179,180,0.56
March 31 2020,Franklin,WA,Passenger,58,76,134,60982,61116,0.22
May 31 2020,Lincoln,WA,Truck,0,0,0,4612,4612,0.00
December 31 2022,Douglas,CO,Passenger,0,1,1,78,79,1.27
September 30 2022,Sacramento,CA,Passenger,2,1,3,241,244,1.23
February 28 2023,Virginia Beach,VA,Truck,1,0,1,119,120,0.83
July 31 2023,Kern,CA,Passenger,1,1,2,186,188,1.06
September 30 2019,Sedgwick,KS,Passenger,1,1,2,104,106,1.89
July 31 2023,Kent,DE,Passenger,1,0,1,46,47,2.13
July 31 2019,Sumter,FL,Passenger,0,1,1,10,11,9.09
June 30 2019,King,WA,Truck,5,1,6,182002,182008,0.00
August 31 2019,Adams,WA,Passenger,5,5,10,12832,12842,0.08
July 31 2024,Clallam,WA,Passenger,782,360,1142,48554,49696,2.30
February 29 2020,Clark,NV,Passenger,4,3,7,748,755,0.93
March 31 2021,El Dorado,CA,Passenger,1,0,1,36,37,2.70
April 30 2020,Broward,FL,Passenger,3,1,4,120,124,3.23
September 30 2020,Sacramento,CA,Passenger,1,1,2,279,281,0.71
May 31 2019,Montgomery,AL,Passenger,1,1,2,45,47,4.26
July 31 2020,Richland,SC,Passenger,0,1,1,146,147,0.68
September 30 2021,Sedgwick,KS,Passenger,0,1,1,88,89,1.12
November 30 2024,Pinal,AZ,Passenger,1,1,2,57,59,3.39
May 31 2020,Sarasota,FL,Passenger,2,0,2,39,41,4.88
March 31 2024,Larimer,CO,Passenger,1,0,1,26,27,3.70
August 31 2019,Lake,CA,Passenger,0,1,1,10,11,9.09
July 31 2024,Fredericksburg,VA,Passenger,1,0,1,3,4,25.00
June 30 2020,DeKalb,IN,Passenger,1,0,1,1,2,50.00
January 31 2023,Spokane,WA,Truck,21,0,21,101643,101664,0.02
January 31 2023,Yakima,WA,Passenger,432,227,659,166209,166868,0.39
August 31 2020,Clark,WA,Truck,0,0,0,82674,82674,0.00
August 31 2023,Pend Oreille,WA,Passenger,30,16,46,8851,8897,0.52
March 31 2022,San Juan,WA,Passenger,492,154,646,14113,14759,4.38
October 31 2018,Mason,WA,Truck,0,0,0,20163,20163,0.00
November 30 2017,Kittitas,WA,Truck,0,0,0,13758,13758,0.00
April 30 2023,Fairfax,VA,Passenger,9,2,11,623,634,1.74
October 31 2023,Muscogee,GA,Passenger,1,2,3,106,109,2.75
September 30 2019,Pend Oreille,WA,Passenger,6,6,12,9466,9478,0.13
July 31 2018,Shelby,TN,Passenger,0,1,1,107,108,0.93
August 31 2021,Middlesex,MA,Passenger,1,0,1,104,105,0.95
January 31 2021,Newport,RI,Passenger,0,1,1,79,80,1.25
September 30 2021,Carson City,NV,Passenger,1,0,1,11,12,8.33
August 31 2017,Eagle,CO,Passenger,1,0,1,7,8,12.50
November 30 2022,Pierce,WA,Passenger,5976,2461,8437,538143,546580,1.54
December 31 2020,Kitsap,WA,Passenger,1556,747,2303,179635,181938,1.27
October 31 2023,Thurston,WA,Truck,71,0,71,53533,53604,0.13
February 28 2017,Klickitat,WA,Passenger,20,22,42,14769,14811,0.28
March 31 2023,Clark,WA,Truck,77,0,77,81440,81517,0.09
June 30 2021,Chelan,WA,Truck,0,0,0,23104,23104,0.00
June 30 2022,Norfolk,VA,Passenger,2,3,5,288,293,1.71
August 31 2020,Clark,NV,Passenger,3,3,6,731,737,0.81
February 29 2024,Prince George,VA,Passenger,2,0,2,47,49,4.08
January 31 2021,Okanogan,WA,Passenger,55,35,90,26120,26210,0.34
June 30 2022,Prince William,VA,Passenger,1,4,5,202,207,2.42
November 30 2024,Douglas,CO,Passenger,0,2,2,38,40,5.00
November 30 2021,Washington,MD,Passenger,2,0,2,12,14,14.29
July 31 2023,El Paso,TX,Passenger,4,1,5,306,311,1.61
December 31 2020,San Juan,WA,Passenger,365,112,477,14009,14486,3.29
October 31 2018,Spokane,WA,Passenger,382,347,729,306077,306806,0.24
October 31 2023,Columbia,WA,Truck,0,0,0,1543,1543,0.00
October 31 2023,Kittitas,WA,Truck,12,0,12,14591,14603,0.08
September 30 2017,Grant,WA,Passenger,20,32,52,61453,61505,0.08
April 30 2019,Whitman,WA,Passenger,29,45,74,22700,22774,0.32
April 30 2020,Prince George's,MD,Passenger,1,1,2,173,175,1.14
August 31 2022,Alexandria,VA,Passenger,4,0,4,110,114,3.51
May 31 2024,Marin,CA,Truck,1,0,1,6,7,14.29
March 31 2020,Botetourt,VA,Passenger,1,0,1,0,1,100.00
March 31 2023,Jefferson,WA,Truck,9,0,9,9316,9325,0.10
March 31 2018,Flathead,MT,Passenger,1,0,1,60,61,1.64
July 31 2017,,,Passenger,3,0,3,445,448,0.67
April 30 2017,Garfield,WA,Passenger,0,0,0,1283,1283,0.00
October 31 2021,Jefferson,WA,Passenger,361,193,554,24743,25297,2.19
April 30 2017,El Paso,CO,Passenger,1,1,2,828,830,0.24
February 28 2018,Lane,OR,Passenger,0,1,1,203,204,0.49
January 31 2020,Harford,MD,Passenger,0,1,1,63,64,1.56
